Soil_type,Temperature,Humidity,ph,Rainfall,District,Zone,Crop,Label,Suitability
Red-Yellow Podzolic soils,29.7,82.7,6.2,2780,Galle,Wet,Areca-nut,1,Suitable
Red loam,26.7,79.3,5.8,2591,Galle,Wet,Areca-nut,1,Suitable
Loamy soil,26.3,87.7,4.6,1966,Gampaha,Wet,Tea,1,Suitable
Clay loam,24.5,89.1,5.0,2206,Gampaha,Wet,Tea,1,Suitable
Loamy soils,29.7,87.4,5.4,2066,Gampaha,Wet,Tea,1,Suitable
Loamy soil,29.4,84.5,5.6,1921,Gampaha,Wet,Tea,1,Suitable
Red-Yellow Latosols,27.8,78.5,4.5,2140,Gampaha,Wet,Tea,1,Suitable
Loamy soils,24.9,86.2,5.0,1800,Gampaha,Wet,Tea,1,Suitable
Red-Yellow Podzolic soils,27.7,74.9,4.8,2578,Gampaha,Wet,Tea,1,Suitable
Red-Yellow Latosols,26.1,78.9,4.5,1984,Gampaha,Wet,Tea,1,Suitable
Red-Yellow Latosols,29.1,89.5,5.4,1979,Gampaha,Wet,Tea,1,Suitable
Loamy soils,29.2,87.6,4.9,2138,Gampaha,Wet,Tea,1,Suitable
Red-Yellow Podzolic soils,26.3,85.4,4.7,2453,Gampaha,Wet,Tea,1,Suitable
Loamy soil,26.6,88.4,5.8,2445,Gampaha,Wet,Tea,1,Suitable
Red-Yellow Latosols,29.3,80.3,5.4,2273,Gampaha,Wet,Tea,1,Suitable
Loamy soils,24.5,82.7,4.7,2367,Gampaha,Wet,Tea,1,Suitable
Loamy soils,29.5,83.3,4.6,2562,Gampaha,Wet,Tea,1,Suitable
Loamy soil,25.9,83.6,5.4,2037,Gampaha,Wet,Tea,1,Suitable
Red-Yellow Podzolic soils,29.3,75.6,5.2,2211,Gampaha,Wet,Tea,1,Suitable
Loamy soils,26.6,88.9,5.4,2462,Gampaha,Wet,Tea,1,Suitable
Loamy soils,29.0,81.4,5.4,2537,Gampaha,Wet,Tea,1,Suitable
Loamy soils,29.1,87.8,5.5,2019,Gampaha,Wet,Tea,1,Suitable
Clay loam,25.4,79.5,5.8,2068,Gampaha,Wet,Tea,1,Suitable
Loam,30.0,85.2,5.2,2382,Gampaha,Wet,Tea,1,Suitable
Loamy soil,30.6,81.9,4.7,2104,Gampaha,Wet,Tea,1,Suitable
Clay loam,29.5,85.8,4.5,2107,Gampaha,Wet,Tea,1,Suitable
Loamy soils,29.9,74.2,5.8,2363,Gampaha,Wet,Tea,1,Suitable
Loam,27.1,77.8,5.6,2364,Gampaha,Wet,Tea,1,Suitable
Loamy soil,27.8,89.5,5.2,1841,Gampaha,Wet,Tea,1,Suitable
Red-Yellow Latosols,29.0,87.8,5.5,1943,Gampaha,Wet,Tea,1,Suitable
Loamy soil,27.9,80.3,5.6,1905,Gampaha,Wet,Tea,1,Suitable
Clay loam,25.1,79.0,5.6,2032,Gampaha,Wet,Tea,1,Suitable
Red-Yellow Podzolic soils,28.7,86.7,6.2,2000,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Podzolic soils,28.0,87.3,4.8,2525,Gampaha,Wet,Cinnamon,0,Not Suitable
Sandy Clay loam,28.7,74.8,5.4,2239,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Latosols,26.1,79.6,5.5,2297,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Latosols,29.1,80.5,6.5,1855,Gampaha,Wet,Cinnamon,1,Suitable
Clay loam,26.0,80.9,5.5,2348,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Podzolic soils,24.4,80.0,6.2,2556,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Latosols,28.7,84.1,5.7,1959,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Podzolic soils,29.3,75.6,5.4,2022,Gampaha,Wet,Cinnamon,1,Suitable
Sandy loam,27.0,89.7,5.9,1854,Gampaha,Wet,Cinnamon,1,Suitable
Loamy soils,25.3,89.5,5.7,1891,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Latosols,29.2,85.3,5.6,2138,Gampaha,Wet,Cinnamon,1,Suitable
Loam,26.8,78.2,5.9,1964,Gampaha,Wet,Cinnamon,1,Suitable
Loamy soils,25.9,78.6,6.9,2325,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Latosols,28.2,75.2,6.9,1860,Gampaha,Wet,Cinnamon,1,Suitable
Loam,26.1,75.5,6.2,2279,Gampaha,Wet,Cinnamon,1,Suitable
Loam,28.5,78.3,6.9,1812,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Latosols,25.8,84.8,6.1,2365,Gampaha,Wet,Cinnamon,1,Suitable
Loamy soils,26.2,78.3,6.7,2278,Gampaha,Wet,Cinnamon,1,Suitable
Sandy Clay loam,30.6,75.7,6.9,1924,Gampaha,Wet,Cinnamon,1,Suitable
Clay loam,29.2,88.1,6.1,1962,Gampaha,Wet,Cinnamon,1,Suitable
Loam,28.9,84.9,4.8,2127,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Latosols,28.1,78.0,6.9,2160,Gampaha,Wet,Cinnamon,1,Suitable
Sandy Clay loam,26.8,87.4,6.3,1951,Gampaha,Wet,Cinnamon,1,Suitable
Sandy Clay loam,30.8,75.6,5.8,1807,Gampaha,Wet,Cinnamon,1,Suitable
Sandy Clay loam,24.6,86.0,5.8,2532,Gampaha,Wet,Cinnamon,0,Not Suitable
Sandy loam,25.8,81.0,4.8,2379,Gampaha,Wet,Cinnamon,1,Suitable
Loamy soils,28.1,83.8,5.3,2310,Gampaha,Wet,Cinnamon,1,Suitable
Loam,29.0,75.5,6.7,1959,Gampaha,Wet,Cinnamon,1,Suitable
Red-Yellow Latosols,29.2,74.2,5.3,1999,Gampaha,Wet,Cinnamon,1,Suitable
Reddish Brown Earth,25.9,78.0,6.1,1850,Gampaha,Wet,Pepper,1,Suitable
Clay loam,29.1,83.7,5.6,2338,Gampaha,Wet,Pepper,1,Suitable
Clay loam,30.7,87.4,6.6,2444,Gampaha,Wet,Pepper,1,Suitable
Sandy Clay loam,30.5,82.7,6.3,1960,Gampaha,Wet,Pepper,1,Suitable
Reddish Brown Earth,29.2,85.8,5.6,2217,Gampaha,Wet,Pepper,1,Suitable
Clay loam,26.6,88.7,6.2,2268,Gampaha,Wet,Pepper,1,Suitable
Loam,25.9,79.9,6.4,2516,Gampaha,Wet,Pepper,1,Suitable
Loamy soils,29.5,81.3,5.8,2304,Gampaha,Wet,Pepper,1,Suitable
Loamy soils,28.9,80.8,6.3,2154,Gampaha,Wet,Pepper,1,Suitable
Red-Yellow Latosols,30.6,75.0,5.9,2460,Gampaha,Wet,Pepper,1,Suitable
Clay loam,27.1,74.4,6.2,2041,Gampaha,Wet,Pepper,1,Suitable
Red-Yellow Podzolic soils,24.4,81.9,5.6,2542,Gampaha,Wet,Pepper,1,Suitable
Clay loam,29.4,80.6,5.8,2324,Gampaha,Wet,Pepper,1,Suitable
Sandy Clay loam,25.1,76.6,5.7,1856,Gampaha,Wet,Pepper,1,Suitable
Red-Yellow Podzolic soils,28.6,88.1,6.4,2451,Gampaha,Wet,Pepper,1,Suitable
Sandy Clay loam,24.8,78.6,5.8,2048,Gampaha,Wet,Pepper,1,Suitable
Reddish Brown Earth,27.6,82.6,6.0,2086,Gampaha,Wet,Pepper,1,Suitable
Reddish Brown Earth,29.8,86.6,6.7,2046,Gampaha,Wet,Pepper,1,Suitable
Red-Yellow Latosols,30.7,79.2,6.2,2084,Gampaha,Wet,Pepper,1,Suitable
Sandy Clay loam,30.6,88.0,6.0,1882,Gampaha,Wet,Pepper,1,Suitable
Red-Yellow Latosols,27.9,82.1,6.6,1955,Gampaha,Wet,Pepper,1,Suitable
Loam,28.7,87.4,6.5,2487,Gampaha,Wet,Pepper,1,Suitable
Clay loam,27.1,83.8,6.4,1928,Gampaha,Wet,Pepper,1,Suitable
Red-Yellow Podzolic soils,25.3,85.1,5.7,1984,Gampaha,Wet,Pepper,1,Suitable
Red-Yellow Podzolic soils,25.2,74.0,6.5,2375,Gampaha,Wet,Pepper,1,Suitable
Red-Yellow Latosols,27.6,76.6,5.5,1867,Gampaha,Wet,Pepper,1,Suitable
Clay loam,25.2,88.3,6.0,1993,Gampaha,Wet,Pepper,1,Suitable
Loamy soils,24.7,77.6,6.3,2215,Gampaha,Wet,Pepper,1,Suitable
Red-Yellow Podzolic soils,25.7,74.9,5.8,2113,Gampaha,Wet,Pepper,1,Suitable
Loamy soils,25.5,89.4,6.2,2293,Gampaha,Wet,Pepper,1,Suitable
Clay loam,26.9,80.9,6.5,2233,Gampaha,Wet,Areca-nut,1,Suitable
Loamy soils,28.9,76.7,6.1,2200,Gampaha,Wet,Areca-nut,1,Suitable
Loam,30.1,84.1,5.7,2226,Gampaha,Wet,Areca-nut,1,Suitable
Red loam,28.2,75.9,5.7,2070,Gampaha,Wet,Areca-nut,1,Suitable
Sandy loam,28.8,77.3,6.8,2113,Gampaha,Wet,Areca-nut,1,Suitable
Sandy loam,25.4,82.1,5.5,2135,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Latosols,29.5,75.1,6.3,2179,Gampaha,Wet,Areca-nut,1,Suitable
Loam,28.4,85.0,5.5,2003,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Podzolic soils,29.1,82.6,6.7,2469,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Latosols,29.9,81.8,6.7,2067,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Latosols,27.2,76.9,6.8,2484,Gampaha,Wet,Areca-nut,1,Suitable
Sandy loam,27.3,75.2,6.7,2110,Gampaha,Wet,Areca-nut,1,Suitable
Clay loam,30.3,77.3,6.8,1854,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Podzolic soils,26.7,82.7,5.6,2574,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Latosols,28.5,75.2,6.7,2100,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Podzolic soils,27.0,90.0,6.0,2247,Gampaha,Wet,Areca-nut,1,Suitable
Red loam,25.5,79.6,5.6,2098,Gampaha,Wet,Areca-nut,1,Suitable
Clay loam,26.6,81.4,6.5,2378,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Podzolic soils,29.0,74.1,6.5,1974,Gampaha,Wet,Areca-nut,1,Suitable
Loamy soils,27.4,74.1,6.7,2444,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Latosols,27.8,75.1,6.4,2413,Gampaha,Wet,Areca-nut,1,Suitable
Loamy soils,29.5,86.0,6.3,2442,Gampaha,Wet,Areca-nut,1,Suitable
Clay loam,25.0,84.7,6.6,2296,Gampaha,Wet,Areca-nut,1,Suitable
Loam,25.2,77.1,6.6,2512,Gampaha,Wet,Areca-nut,1,Suitable
Loamy soils,30.4,86.1,6.5,2278,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Latosols,30.2,83.3,5.7,2306,Gampaha,Wet,Areca-nut,1,Suitable
Red-Yellow Latosols,27.3,85.5,5.8,2017,Gampaha,Wet,Areca-nut,1,Suitable
Sandy loam,26.2,77.9,6.1,1972,Gampaha,Wet,Areca-nut,1,Suitable
Clay loam,30.4,82.1,5.6,1950,Gampaha,Wet,Areca-nut,1,Suitable
Sandy loam,28.9,80.1,6.5,2457,Gampaha,Wet,Areca-nut,1,Suitable
Sandy regosol,33.6,60.4,4.8,1046,Hambantota,Dry,Tea,0,Not Suitable
Loamy soils,34.6,67.7,4.9,862,Hambantota,Dry,Tea,0,Not Suitable
Sandy regosol,29.3,68.9,5.3,809,Hambantota,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,29.9,68.2,5.5,1107,Hambantota,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,33.3,58.8,5.4,744,Hambantota,Dry,Tea,0,Not Suitable
Clay loam,30.6,63.6,4.8,716,Hambantota,Dry,Tea,0,Not Suitable
Clay loam,28.2,72.6,5.2,822,Hambantota,Dry,Tea,0,Not Suitable
Red loam,28.3,68.3,5.7,862,Hambantota,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,34.2,61.5,5.8,1150,Hambantota,Dry,Tea,0,Not Suitable
Sandy loam,33.8,71.9,5.2,825,Hambantota,Dry,Tea,0,Not Suitable
Loamy soils,28.5,56.9,4.9,1199,Hambantota,Dry,Tea,0,Not Suitable
Loamy soil,33.2,71.1,5.8,1129,Hambantota,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,29.7,55.8,4.7,906,Hambantota,Dry,Tea,0,Not Suitable
Sandy regosol,28.2,62.2,5.2,1092,Hambantota,Dry,Tea,0,Not Suitable
Sandy loam,30.2,68.1,4.5,816,Hambantota,Dry,Tea,0,Not Suitable
Red loam,33.4,67.5,4.6,1081,Hambantota,Dry,Tea,0,Not Suitable
Reddish Brown Earth,33.9,67.4,5.3,982,Hambantota,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,34.1,66.7,5.8,990,Hambantota,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,33.3,63.8,5.0,1054,Hambantota,Dry,Tea,0,Not Suitable
Sandy loam,29.6,66.9,5.7,1164,Hambantota,Dry,Tea,0,Not Suitable
Sandy regosol,30.4,65.6,5.8,806,Hambantota,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,34.9,68.0,5.4,1102,Hambantota,Dry,Tea,0,Not Suitable
Sandy loam,32.2,56.1,5.4,927,Hambantota,Dry,Tea,0,Not Suitable
Loam,32.7,62.5,4.7,1171,Hambantota,Dry,Tea,0,Not Suitable
Clay loam,31.5,68.8,5.3,1049,Hambantota,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,29.9,58.1,5.3,1018,Hambantota,Dry,Tea,0,Not Suitable
Clay loam,29.3,69.1,5.4,928,Hambantota,Dry,Tea,0,Not Suitable
Sandy regosol,33.9,58.4,5.5,710,Hambantota,Dry,Tea,0,Not Suitable
Loam,32.3,69.0,5.5,1119,Hambantota,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,34.7,65.7,5.0,944,Hambantota,Dry,Tea,0,Not Suitable
Reddish Brown Earth,29.1,66.5,6.8,839,Hambantota,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,32.1,66.9,4.9,877,Hambantota,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,28.2,63.5,6.1,742,Hambantota,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,34.2,72.7,5.3,1030,Hambantota,Dry,Cinnamon,0,Not Suitable
Sandy loam,34.0,72.7,6.4,798,Hambantota,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,30.0,71.1,4.9,1199,Hambantota,Dry,Cinnamon,0,Not Suitable
Loam,34.3,67.5,5.8,1187,Hambantota,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,33.9,56.2,4.9,868,Hambantota,Dry,Cinnamon,0,Not Suitable
Loam,34.8,71.3,6.9,1126,Hambantota,Dry,Cinnamon,0,Not Suitable
Loam,28.6,62.7,5.3,736,Hambantota,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,29.6,64.4,5.0,834,Hambantota,Dry,Cinnamon,0,Not Suitable
Sandy loam,29.2,57.9,6.5,1187,Hambantota,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,34.8,63.8,6.6,839,Hambantota,Dry,Cinnamon,0,Not Suitable
Red loam,30.3,61.0,5.1,816,Hambantota,Dry,Cinnamon,0,Not Suitable
Loam,29.8,62.1,4.9,1037,Hambantota,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,29.5,71.2,5.6,773,Hambantota,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,34.1,58.1,5.9,741,Hambantota,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,30.1,66.3,5.1,1102,Hambantota,Dry,Cinnamon,0,Not Suitable
Loam,32.1,65.1,6.2,772,Hambantota,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,29.9,64.8,5.8,741,Hambantota,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,30.1,71.4,5.7,728,Hambantota,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,31.2,69.5,6.3,987,Hambantota,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,33.4,72.2,6.0,857,Hambantota,Dry,Cinnamon,0,Not Suitable
Sandy regosol,33.9,74.8,5.6,1145,Hambantota,Dry,Cinnamon,0,Not Suitable
Sandy loam,29.4,64.8,5.9,1071,Hambantota,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,31.4,71.8,6.7,881,Hambantota,Dry,Cinnamon,0,Not Suitable
Sandy loam,30.8,61.6,6.5,927,Hambantota,Dry,Cinnamon,0,Not Suitable
Loam,28.9,58.9,5.2,1176,Hambantota,Dry,Cinnamon,0,Not Suitable
Loam,32.0,66.6,6.2,945,Hambantota,Dry,Cinnamon,0,Not Suitable
Loam,29.6,66.1,6.3,886,Hambantota,Dry,Cinnamon,0,Not Suitable
Red loam,29.0,66.4,5.9,793,Hambantota,Dry,Pepper,0,Not Suitable
Loamy soil,29.5,58.7,5.9,1113,Hambantota,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,34.5,74.4,5.7,986,Hambantota,Dry,Pepper,0,Not Suitable
Sandy loam,30.6,71.0,5.6,884,Hambantota,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,31.9,71.9,5.7,1098,Hambantota,Dry,Pepper,0,Not Suitable
Sandy Clay loam,32.7,59.4,6.6,809,Hambantota,Dry,Pepper,0,Not Suitable
Loamy soil,29.7,60.3,6.6,700,Hambantota,Dry,Pepper,0,Not Suitable
Sandy loam,33.5,67.5,5.7,1075,Hambantota,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,31.2,62.0,6.1,747,Hambantota,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,34.4,55.8,5.8,846,Hambantota,Dry,Pepper,0,Not Suitable
Clay loam,29.7,73.2,6.1,934,Hambantota,Dry,Pepper,0,Not Suitable
Sandy Clay loam,33.3,58.1,6.1,944,Hambantota,Dry,Pepper,0,Not Suitable
Sandy Clay loam,32.2,75.0,6.0,1085,Hambantota,Dry,Pepper,0,Not Suitable
Sandy loam,33.8,58.4,5.8,715,Hambantota,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,30.4,65.2,6.7,1008,Hambantota,Dry,Pepper,0,Not Suitable
Sandy regosol,31.6,65.0,5.5,725,Hambantota,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,31.9,63.8,5.7,1120,Hambantota,Dry,Pepper,0,Not Suitable
Loam,28.2,64.0,5.6,819,Hambantota,Dry,Pepper,0,Not Suitable
Sandy regosol,33.1,57.2,5.9,1004,Hambantota,Dry,Pepper,0,Not Suitable
Sandy Clay loam,29.2,62.6,6.0,1101,Hambantota,Dry,Pepper,0,Not Suitable
Sandy Clay loam,33.3,57.5,5.8,1086,Hambantota,Dry,Pepper,0,Not Suitable
Red loam,32.7,66.3,6.0,1165,Hambantota,Dry,Pepper,0,Not Suitable
Sandy loam,28.5,55.4,6.2,1113,Hambantota,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,33.4,59.7,5.5,873,Hambantota,Dry,Pepper,0,Not Suitable
Loam,34.7,68.4,5.8,1167,Hambantota,Dry,Pepper,0,Not Suitable
Sandy regosol,32.3,68.6,6.6,859,Hambantota,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,34.6,72.7,5.9,1070,Hambantota,Dry,Pepper,0,Not Suitable
Sandy loam,30.0,74.3,6.4,705,Hambantota,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,32.9,67.5,5.9,1195,Hambantota,Dry,Pepper,0,Not Suitable
Loamy soil,30.4,56.6,5.8,921,Hambantota,Dry,Pepper,0,Not Suitable
Red loam,30.4,71.7,5.8,1168,Hambantota,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,30.6,73.6,5.6,731,Hambantota,Dry,Areca-nut,0,Not Suitable
Red loam,29.1,66.9,7.0,775,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soils,31.1,65.0,6.2,823,Hambantota,Dry,Areca-nut,0,Not Suitable
Red loam,32.6,70.0,6.4,1077,Hambantota,Dry,Areca-nut,0,Not Suitable
Loam,34.3,71.3,5.6,1079,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soils,28.0,59.2,6.1,1032,Hambantota,Dry,Areca-nut,0,Not Suitable
Sandy regosol,30.8,72.7,6.9,1148,Hambantota,Dry,Areca-nut,0,Not Suitable
Sandy regosol,30.2,68.8,5.8,836,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soil,29.3,61.8,6.7,915,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soils,28.8,69.7,5.9,966,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soils,31.4,61.0,6.2,998,Hambantota,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,29.2,57.3,6.9,973,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soils,30.4,69.7,6.9,1029,Hambantota,Dry,Areca-nut,0,Not Suitable
Loam,33.7,66.3,6.8,1029,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soil,30.8,61.5,6.7,705,Hambantota,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,33.6,57.1,6.2,988,Hambantota,Dry,Areca-nut,0,Not Suitable
Loam,28.8,74.6,5.6,807,Hambantota,Dry,Areca-nut,0,Not Suitable
Red loam,32.2,69.8,6.5,716,Hambantota,Dry,Areca-nut,0,Not Suitable
Sandy regosol,31.7,57.1,6.4,786,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soil,30.1,73.8,7.0,1109,Hambantota,Dry,Areca-nut,0,Not Suitable
Clay loam,29.8,74.4,6.0,916,Hambantota,Dry,Areca-nut,0,Not Suitable
Sandy regosol,28.4,56.1,6.2,1046,Hambantota,Dry,Areca-nut,0,Not Suitable
Sandy loam,29.6,67.3,6.4,826,Hambantota,Dry,Areca-nut,0,Not Suitable
Sandy regosol,30.5,71.5,6.2,1110,Hambantota,Dry,Areca-nut,0,Not Suitable
Sandy regosol,30.5,62.3,6.0,1103,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soils,29.5,56.7,6.2,933,Hambantota,Dry,Areca-nut,0,Not Suitable
Loam,33.9,59.4,6.7,890,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soils,33.8,62.7,6.0,930,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soils,34.5,57.4,6.5,1167,Hambantota,Dry,Areca-nut,0,Not Suitable
Loamy soil,31.7,60.5,5.0,990,Jaffna,Dry,Tea,0,Not Suitable
Loamy soil,29.1,70.5,5.2,1188,Jaffna,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,33.0,61.1,4.7,967,Jaffna,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,32.3,75.0,4.6,1065,Jaffna,Dry,Tea,0,Not Suitable
Loamy soils,30.5,68.8,5.6,961,Jaffna,Dry,Tea,0,Not Suitable
Clay loam,33.7,69.8,4.8,949,Jaffna,Dry,Tea,0,Not Suitable
Loamy soil,28.7,65.7,5.4,965,Jaffna,Dry,Tea,0,Not Suitable
Reddish Brown Earth,32.6,61.1,4.7,958,Jaffna,Dry,Tea,0,Not Suitable
Reddish Brown Earth,29.1,73.2,5.0,817,Jaffna,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,29.2,74.1,4.8,1023,Jaffna,Dry,Tea,0,Not Suitable
Loamy soils,31.5,71.7,4.8,1183,Jaffna,Dry,Tea,0,Not Suitable
Reddish Brown Earth,34.2,74.9,5.3,1167,Jaffna,Dry,Tea,0,Not Suitable
Loamy soils,32.4,66.5,5.2,1101,Jaffna,Dry,Tea,0,Not Suitable
Sandy loam,32.7,66.9,5.6,1093,Jaffna,Dry,Tea,0,Not Suitable
Loamy soil,29.0,73.3,5.6,1016,Jaffna,Dry,Tea,0,Not Suitable
Clay loam,31.0,66.1,4.8,1166,Jaffna,Dry,Tea,0,Not Suitable
Loamy soils,33.9,67.7,4.9,1006,Jaffna,Dry,Tea,0,Not Suitable
Loamy soils,32.0,65.2,4.9,816,Jaffna,Dry,Tea,0,Not Suitable
Loam,28.0,75.7,5.0,1186,Jaffna,Dry,Tea,0,Not Suitable
Clay loam,33.1,65.5,5.5,1068,Jaffna,Dry,Tea,0,Not Suitable
Sandy loam,34.6,66.4,4.8,1113,Jaffna,Dry,Tea,0,Not Suitable
Loam,34.9,60.4,5.4,1041,Jaffna,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,32.8,61.9,4.7,1175,Jaffna,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,32.4,63.6,5.2,923,Jaffna,Dry,Tea,0,Not Suitable
Loamy soil,30.9,62.6,5.0,868,Jaffna,Dry,Tea,0,Not Suitable
Red loam,33.3,74.4,5.0,834,Jaffna,Dry,Tea,0,Not Suitable
Clay loam,28.7,60.3,5.3,1065,Jaffna,Dry,Tea,0,Not Suitable
Red loam,29.1,63.7,5.6,809,Jaffna,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,34.8,62.2,5.6,893,Jaffna,Dry,Tea,0,Not Suitable
Clay loam,34.5,66.7,4.6,820,Jaffna,Dry,Tea,0,Not Suitable
Sandy loam,32.0,66.3,6.1,811,Jaffna,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,28.1,72.6,4.9,923,Jaffna,Dry,Cinnamon,0,Not Suitable
Red loam,32.1,66.4,6.0,1190,Jaffna,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,29.9,71.4,6.8,909,Jaffna,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,30.6,68.8,5.7,820,Jaffna,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,33.8,72.9,5.3,890,Jaffna,Dry,Cinnamon,0,Not Suitable
Red loam,33.7,74.9,5.8,838,Jaffna,Dry,Cinnamon,0,Not Suitable
Sandy loam,30.4,73.9,5.3,833,Jaffna,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,33.3,60.8,5.8,997,Jaffna,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,30.3,66.3,5.2,1012,Jaffna,Dry,Cinnamon,0,Not Suitable
Loam,32.0,72.9,5.1,1104,Jaffna,Dry,Cinnamon,0,Not Suitable
Loam,29.0,64.3,5.7,944,Jaffna,Dry,Cinnamon,0,Not Suitable
Sandy regosol,32.8,60.9,5.7,814,Jaffna,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,32.9,63.1,5.4,1057,Jaffna,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,34.2,74.3,5.3,919,Jaffna,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,30.9,63.8,6.6,1069,Jaffna,Dry,Cinnamon,0,Not Suitable
Sandy loam,32.7,73.2,5.1,959,Jaffna,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,33.2,65.8,5.4,1069,Jaffna,Dry,Cinnamon,0,Not Suitable
Loam,28.6,75.9,7.0,862,Jaffna,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,34.8,72.7,6.1,1064,Jaffna,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,34.1,64.6,6.2,987,Jaffna,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,30.9,66.8,6.0,932,Jaffna,Dry,Cinnamon,0,Not Suitable
Sandy regosol,34.0,63.2,6.3,1174,Jaffna,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,33.8,68.9,4.8,1112,Jaffna,Dry,Cinnamon,0,Not Suitable
